重复组号,重复条数,涉及景点数,评论内容,涉及景点,评论编号列表
990,2,2,体验很不错,奇林峡风景区、康定木格措景区,215682139、188447295
991,2,1,可以很不错,康定木格措景区,213979781、213979746
992,2,2,挺好挺好挺好,噶丹松赞林寺、康定木格措景区,213112950、632678558
993,2,1,五一当天去的，可能我们到的早，相比其他景区人还没有周末的多，木格措和五色海雪山湖泊，很漂亮，但五一草还没绿，建议五月下旬后去，会很漂亮,康定木格措景区,210772122、210772185
994,2,1,冬天的木格措，是一幅静谧而壮美的画卷。湖面冰封如镜，倒映着皑皑雪山与湛蓝天空，裂缝中透出的湖水宛如翡翠，美得令人窒息。漫步黄金海岸，脚下是松软的积雪，远处的雪山在阳光照耀下闪烁着圣洁光芒。景区内的七色海、药池沸泉等景点也别具韵味，七色海湖水随天气变幻色彩，药池沸泉的热气在寒风中升腾，为冬日增添了几分温暖。此外，这里还有雪上自行车等丰富的冰雪项目，让你尽情享受冬日乐趣，是冬季旅游的绝佳选择。,康定木格措景区,210556809、210557852
995,2,2,很不错，风景优美,噶丹松赞林寺、康定木格措景区,210260926、231573847
996,2,1,景区风景秀丽，景区安排合理，交通车不排长队，比较方便，泡脚去乏，也可休息，水温合适,康定木格措景区,194933355、194933327
997,2,1,还可以的、景区环境好 风景优美 推荐游玩,康定木格措景区,191820644、191820630
998,2,1,服务特别好，前台小姐姐很热情 ，客房服务员态度也很好，也很干净。性价比很高，值得推荐。第二天的早餐也很不错，整体来说很满意。价格也很实惠。推荐推荐以后还会入住，店家还给没吃午饭的人送来了水果点心，赞一个！,康定木格措景区,181502080、181502074
999,2,1,风景优美迷人,康定木格措景区,181287539、171526205
1000,2,2,景色美，值得一去,墨石公园景区、康定木格措景区,179643316、694018585
1001,2,2,三天两夜的 川西之行结束了 四人的小团体非常圆满 尤其是司机东哥 服务热情 幽默风趣 驾驶技术过硬一看就是老司机！ 尤其是我们其中几人有高反 为我们忙前忙后 拿药 拿氧气瓶 服务太周到了。不仅欣赏了大草原的美景，也看出了成都人的朴实，实在。希望下次再来成都时还能再遇到东哥！,墨石公园景区、康定木格措景区,179456657、179457175
1002,2,2,性价比极差,南迦巴瓦峰、康定木格措景区,179212092、779374765
1003,2,2,一点都不好玩,奇林峡风景区、康定木格措景区,178593808、175525113
1004,2,2,旅行洗去了成都的炎热，洗去了琐事的烦心，疫情大背景下，能欣赏到川西的美景，感谢眷顾yyds，努力工作，努力生活，期待下一次与美丽邂逅。,墨石公园景区、康定木格措景区,172205894、172205881
1005,2,1,世界是否美好，不在于世界，在于你,康定木格措景区,170323255、170323188
1006,2,2,性价比一般,《文成公主》大型史诗剧、康定木格措景区,167660010、187480441
1007,2,2,值得去，景色美,南迦巴瓦峰、康定木格措景区,167211837、218292572
1008,2,2,总体超赞，景色不错，有趣好玩，性价比高，,布达拉宫、康定木格措景区,166678450、166678808
1009,2,1,景色不错，有趣好玩，总体超赞，性价比高，,康定木格措景区,165962652、165860840
1010,2,2,风景漂亮。,巴塘措普沟景区、康定木格措景区,164938475、228579037
1011,2,2,有趣好玩，性价比高，景色不错，总体超赞，,大昭寺、康定木格措景区,164865408、165531364
1012,2,2,体验很好，有趣好玩，景色不错，值得推荐，,噶丹松赞林寺、康定木格措景区,164119933、163651048
1013,2,2,景色不错，有趣好玩，值得推荐，,墨石公园景区、康定木格措景区,163978373、164218184
1014,2,1,门票略贵，景点比较分散，比较单一,康定木格措景区,161466965、161466592
1015,2,1,观光车直接拉倒顶，如果体力允许建议从上面慢慢沿栈道走下去，栈道比较梯步比较平缓，慢慢走也不算很累，一路有蓝天、远处的雪山、近处的清溪、色彩斑斓的树林，非常漂亮,康定木格措景区,161440654、161440160
1016,2,1,景区可以看雪山，自然风光：湖泊，高山⛰️。感叹大自然的力量，风景还是很美。但是感觉旅游价值不得多高。 路还在修，国庆堵车严重。,康定木格措景区,161346663、161346476
1017,2,1,景区规划的很好，山顶景色冷峻，随着下山逐步&quot;暖和&quot;起来，适合喜欢大自然的朋友！观景栈道推荐尝试，挂在树上的诗句木牌很有诗意！,康定木格措景区,161339648、161339146
1018,2,2,古格王朝红殿位于古格城堡北侧山坡台地，是城堡中面积较大的建筑。殿内的柱子由方木榫卯相接，柱头托木上浮雕精美。其壁画题材丰富，有佛传等内容，北壁壁画还分上下排列着众多小像。红殿的天花板彩绘图案构图较为自由。它是古格王国佛教建筑的代表，承载着丰富的历史文化内涵，见证了古格王朝曾经的辉煌。,古格王朝遗址-红殿、干尸洞,213393825、213393349
1019,2,1,布达拉宫广场是世界上海拔最高的城市广场，拉萨许多重要的活动都在此举行。站在广场上仰望布达拉宫，你更能体会到它雄伟、神圣的一面。 如果说白天的广场让你震撼，那这里的夜景则让你看见它略显柔情的一面。灯光的照射下的布宫别有风情，广场上的音乐喷泉也颇有情调，还有许多人随着音乐一齐跳舞。,布达拉宫广场,172977764、172695784
1020,2,1,布达拉宫广场是世界海拔最高的城市广场，位于西藏拉萨市布达拉宫正对面，是西藏自治区政府和拉萨市重要的活动场所，也是中外游客集中观光的旅游景点之一，是一座融休闲、文化、集会等多功能为一体的现代化广场。 这座广场也是世界文化遗产——布达拉宫的重要组成部分。,布达拉宫广场,167590421、166212582
1021,2,2,布达拉宫广场是世界海拔最高的城市广场，位于西藏拉萨市布达拉宫正对面，是西藏自治区政府和拉萨市重要的活动场所，也是中外游客集中观光的旅游景点之一，是一座融休闲、文化、集会等多功能为一体的现代化广场。这座广场也是世界文化遗产——布达拉宫的重要组成部分。广场音乐喷泉、西藏和平解放纪念碑、从布达拉宫上看到的广场全景。天色已晚，夜幕下的广场，从广场看对面的布达拉宫，更具别样风景。夜晚的喷泉映衬着布达拉宫，更加雄伟壮观。,布达拉宫、布达拉宫广场,165555433、165555445
1022,2,2,布达拉宫广场是世界海拔最高的城市广场，位于西藏拉萨市布达拉宫正对面，是西藏自治区政府和拉萨市重要的活动场所，也是中外游客集中观光的旅游景点之一，是一座融休闲、文化、集会等多功能为一体的现代化广场。,布达拉宫、布达拉宫广场,163309352、165568987
1023,2,2,很好，不错,南迦巴瓦峰、布达拉宫,826325221、217772857
1024,2,2,讲解很细致,大昭寺、布达拉宫,812971629、178611889
1025,2,2,非常好，超预期！,大昭寺、布达拉宫,806125608、806125384
1026,2,2,服务热情周到,大昭寺、布达拉宫,796554802、167354294
1027,2,2,建筑很有特色,噶丹松赞林寺、布达拉宫,785976451、177394217
1028,2,1,体验感特别差，陪同父母来，平台还把老人单独分开，并且不接受任何调解跟协商,布达拉宫,778473942、778473662
1029,2,2,挺好的，很不错,噶丹松赞林寺、布达拉宫,778591136、181713083
1030,2,2,好的好的好的,巴塘措普沟景区、布达拉宫,777638058、218143591
1031,2,1,导游讲解非常好,布达拉宫,776550888、215583579
1032,2,1,布达拉宫值得一游,布达拉宫,769164138、769163816
1033,2,1,导游认真负责,布达拉宫,769330584、178171924
1034,2,1,导游很不错,布达拉宫,752163693、218151690
1035,2,2,体验感很棒,大昭寺、布达拉宫,748367026、748366774
1036,2,2,不错不错真不错,巴松措、布达拉宫,721725495、721727294
1037,2,1,解说专业，值得推荐,布达拉宫,709066030、709065631
1038,2,1,导游人很好,布达拉宫,689011548、219321383
1039,2,1,还不错的体验,布达拉宫,686740405、686740111
1040,2,2,很好很美丽,巴松措、布达拉宫,675240756、675239552
1041,2,1,贾导讲解非常好,布达拉宫,657050934、657050619
1042,2,2,有机会再去玩,南迦巴瓦峰、布达拉宫,243490661、243490577
1043,2,2,各方面都挺好的！,噶丹松赞林寺、布达拉宫,229701102、168273208
1044,2,1,小样导游讲解好,布达拉宫,227540440、219321838
1045,2,1,谭导讲解服务非常棒,布达拉宫,227040556、217003081
1046,2,1,谭导讲解服务好,布达拉宫,226857821、223087418
1047,2,1,讲解挺好的,布达拉宫,226854076、215147570
1048,2,2,很好，非常好,巴松措、布达拉宫,226710373、218307258
1049,2,1,谭导非常棒啊,布达拉宫,226386385、222654034
1050,2,1,讲解详细易懂,布达拉宫,224246975、217735659
1051,2,1,讲解非常到位,布达拉宫,224098995、179703350
1052,2,1,讲解很专业,布达拉宫,220094099、211690116
1053,2,2,导游认真负责。,小昭寺、布达拉宫,220005542、727687283
1054,2,1,杨导游非常耐心，讲的很细致。处处照顾团友。,布达拉宫,219863386、219863316
1055,2,1,很棒很专业,布达拉宫,219863344、219863288
1056,2,1,拉姆讲解非常好,布达拉宫,219697500、211089110
1057,2,2,导游很细心,大昭寺、布达拉宫,219067682、165655810
1058,2,2,很好很方便,墨石公园景区、布达拉宫,218807555、191198351
1059,2,1,讲解的非常好,布达拉宫,218358834、216842606
1060,2,1,小样导游讲解好，服务好,布达拉宫,218133007、217205948
1061,2,2,导游讲解不错！,大昭寺、布达拉宫,217616204、166395820
1062,2,1,讲解非常细致,布达拉宫,217034819、210770820
1063,2,1,导游很耐心,布达拉宫,216748687、214608430
1064,2,1,非常满意很开心,布达拉宫,216114298、216114235
1065,2,1,解说非常好,布达拉宫,216113451、181941035
1066,2,2,很好的讲解,大昭寺、布达拉宫,214434032、163405410
1067,2,1,导游专业，讲解的非常好,布达拉宫,210395179、210395151
1068,2,2,导游非常好！,大昭寺、布达拉宫,209474903、166697566
1069,2,2,这里值得一去,奇林峡风景区、布达拉宫,178745092、230814340
1070,2,1,不允许退订，简直是抢钱！一定在网上给你们宣传宣传，黑心缺德到家了！向所有人宣传，一定不能定你们的票！以后不会用携程了！以后不去西藏了！,布达拉宫,178290721、178290684
1071,2,1,我们有一个75岁老人，王导一路搀扶，照拂有加，老人非常感动！王导的讲解也非常专业、详实，对布达拉宫和西藏历史可谓了如指掌，必须好评！,布达拉宫,177673398、177673434
1072,2,1,特别好，玩的很开心😃😄 王导也特别细心，非常满意👍！！,布达拉宫,177641642、177641599
1073,2,1,一步一个坑，天天上一当，当当不一样，不要在这里买票，直接去门口在导游买，又便宜一半多，又不用提前那么久买，在这里买，参观时间，用什么导游的都是他们说了算，多次沟通都没用，他们给我们安排的时间我们来不及到不了，没有进去参观，5个人3000多的钱票也退不了，这次的西藏游旅游，太糟糕了，希望大家能引以为戒。,布达拉宫,177569499、177569511
1074,2,2,讲解到位。,大昭寺、布达拉宫,177561810、167728954
1075,2,2,值得一去，太美了！,墨石公园景区、布达拉宫,167460593、178227527
1076,2,1,大家别在携程买布达拉宫的门票了，自己预约下门票其实只要200元。携程卖388元，多出来的188是导游费，具体情况是这样的，你买的这个票就是和其他人拼团。10个人左右，有可能更多。我们一直以为1880导游服务态度会很不错，讲解也会很到位。结果就是心凉透了，失望透顶。就带着我们随便逛了一圈 1个半小时。这收费，钱也太好赚了。,布达拉宫,166999726、166928977
1077,2,1,携程订票真的非常方便快捷~出票又快~价格也优惠~安全有保障~值得信赖！,布达拉宫,166973716、166973703
1078,2,2,景色不错，总体超赞，有趣好玩，,大昭寺、布达拉宫,166844896、164881516
1079,2,1,布达拉宫是雪域高原上最神圣的宫殿，在这座世界上海拔最高、最雄伟、最具传奇色彩的宫殿里，珍藏着藏族文化的精髓。公元641年吐蕃松赞干布在玛布日山上兴建布达拉宫，据说是为了迎娶来自长安的文成公主，那时的布达拉宫远没有现在的宏伟姿态。布达拉宫也在不断建造的过程中，逐渐成为由宫殿、佛堂和灵塔组成的无可超越的建筑群。,布达拉宫,166577819、162958899
1080,2,1,都挺方便的。,布达拉宫,166489984、166489959
1081,2,1,我们这趟一共8个人，特意选择贵一些的少人团，就是为了听解说容易一些，但导游非要我们多花20元租个耳机，说人多会听不清楚，就我们几个人哪会听不到？无语，不爽。沿路听到别的导游说得生动有趣，我们的导游小张不咋滴，带着走马观花似的，而且感觉她对布宫的情况不太熟悉，总体很一般。,布达拉宫,166231770、166231754
1082,2,1,还是很一般,布达拉宫,165283561、165283539
1083,2,2,就是人太多了,噶丹松赞林寺、布达拉宫,164699551、220462943
1084,2,2,体验不佳，性价比低，,大昭寺、布达拉宫,163941797、163901019
1085,2,2,惊险刺激风景好,巴松措、巴松措休闲水上运动中心,229195569、229195611
1086,2,2,好！！！！！,大昭寺、巴松措,811410895、174659498
1087,2,1,还不错吧！！！,巴松措,803536266、803536091
1088,2,1,比*团有优惠。可以玩多天，就很划算！,巴松措,790718608、790718573
1089,2,1,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,巴松措,782157545、782157363
1090,2,1,非常一般般。环境啊都很一般,巴松措,777882806、777882652
1091,2,2,比较值得去,噶丹松赞林寺、巴松措,766450658、221181276
1092,2,1,景区管理的还是有些问题，首先售票处非常慢，排半个小时左右的队，才能买到票，而且在网上买了票，出了*音平台外，都需要换票，不科学。去遗忘码头，就给20分钟时间，最主要的是，五A级景区，位置最好的地方，都被私人占有，需要另付费才能拍到景色。希望有关部门能出来管管。,巴松措,764712026、764711683
1093,2,1,巴松措风光绝美，翡翠湖水搭配雪山林海，拍照出片。湖心古寺人文底蕴浓厚，达切拉观景台全景视野绝佳。路况良好，游玩轻松不累，高反压力小。318自驾必经之地，强烈推荐。,巴松措,742711747、742752613
1094,2,1,巴松措风景名副其实的西藏秘境，湖水碧绿、雪山环绕，环湖徒步体验绝佳（开了好长一段搓衣板路，在新措徒步），电子票直接扫码入园，开车来需要提前登录车牌号，记得告诉酒店安排，司机也得买票。但入园流程顺畅，景区生态绝佳，来林芝必打卡。,巴松措,716122317、716123836
1095,2,1,巴松措是镶嵌在林芝群山间的一块碧玉。湖水是深邃的蓝绿色，清澈见底，倒映着终年积雪的雪山与茂密森林。乘船游湖，清风拂面，心旷神怡。湖心岛上的错宗工巴寺古朴宁静，为这片仙境增添了几分神圣。栈道环湖，徒步轻松，处处是景。这里是洗涤心灵、感受自然之美的绝佳之地，不虚此行，强烈推荐！,巴松措,688063167、688064133
1096,2,2,好好好好好好好好好好好好好好好好好好,《文成公主》大型史诗剧、巴松措,687293811、681146320
1097,2,1,巴松措很美很美,巴松措,673108577、664580694
1098,2,2,还不错..,噶丹松赞林寺、巴松措,670649274、211234444
1099,2,2,门票太贵了,噶丹松赞林寺、巴松措,648497788、221020465
1100,2,1,值得一看的美景,巴松措,643236938、222758362
1101,2,1,还行，风景不错,巴松措,245845608、245845412
1102,2,1,值得一去，高原上的绿宝石,巴松措,227144240、227144149
1103,2,1,蓝天绿水，环境不错,巴松措,223982620、223982564
1104,2,1,果然是传说中最差的5a，想要开车进来去白朗沟、新措这些地方必须买门票，而且还要在里面住宿，交60块钱住宿押金找民宿老板退钱，如果你不想住就只有定一个民宿可以取消的那种，然后这60块钱白扔出来以后再去花50块钱补观光车票，等于说买120的门票还要再多交百多块钱才能把车开进去，当天出来。 景区里面也到处让你消费，总之就是没钱别玩,巴松措,222566114、222566093
1105,2,1,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,巴松措,222588549、217551902
1106,2,1,在里面住上2晚，自驾去新措是不错的选择。,巴松措,221713129、221713045
1107,2,1,虽然号称必打卡，但性价比不高。门票＋车有点贵。,巴松措,220802835、220802786
1108,2,1,非常好看啊,巴松措,218873516、218873257
1109,2,1,蓝天白云、青山绿水！,巴松措,216625809、216625739
1110,2,1,门票110，区间公交车100~就是要你花钱，不然去不了~纳木措湖还是非常美值得一去的~湖水和大海的颜色一样，惊艳极了~公交车师傅也比较有趣~ 一个湖分成两段在不同的县城，所以要收两次费用~南岸线和北岸线~,巴松措,215849488、215849117
1111,2,1,非常好，景色好看,巴松措,215386417、215386480
1112,2,1,不错的样子,巴松措,210964314、210964405
1113,2,1,【巴松措 | 藏东秘境中的蓝眼泪】   镶嵌于海拔3480米的雪山峡谷间，巴松措如一粒晶莹蓝宝石，湖水随光影变幻出翡翠、松石般的色调。环湖古杉蔽日，远处终年积雪的杰青那拉嘎布峰倒映湖面，圣洁而空灵。沿木质栈道漫步，可探访湖心扎西岛千年古寺，或深入错高村感受工布藏族风情。雨季云雾缭绕时，恍若闯入仙境。建议春秋季前往，避开雨季泥泞路况，无人机航拍更可解锁上帝视角的震撼层次感。,巴松措,206070446、206070460
1114,2,2,整体还不错。,《文成公主》大型史诗剧、巴松措,197632583、164774069
1115,2,1,里面不错，外面一般呢,巴松措,194206251、194206230
1116,2,2,值得一来的,噶丹松赞林寺、巴松措,193461878、181859355
1117,2,1,太棒的景点,巴松措,192052526、192052498
1118,2,2,很好，风景不错,奇林峡风景区、巴松措,191272845、176245590
1119,2,2,没什么亮点,奇林峡风景区、巴松措,187893112、179060371
1120,2,1,非常漂亮的景区，一汪翠绿的湖水，非常值得一来！,巴松措,187326714、187326700
1121,2,1,景色非常漂亮，适合家庭出游，公司团建，住宿和交通也非常方便，氧气充足，适合全身心的放松，再往新措里面去，简直就是世外桃园,巴松措,187267620、187267641
1122,2,2,非常不错的旅行体验,巴塘措普沟景区、巴松措,187174786、221028753
1123,2,1,景区值得游玩,巴松措,186402798、186402763
1124,2,1,其实整体来说，巴东错应该是个不错的景区，可是里边儿的开发实在是太乱，门票+景交165了，但是就去三个点儿，第一个点儿停的时候还有时间，不走的话，大巴车自己开走！而且其他几个点儿看的也一般，没有把巴中错的美突出来，其实巴松错的美，在于除了是从核心景区之外在里边儿住几天可以到新措，不花钱进入新措的，反而欣赏到了巴中挫和新措的美。建议喝川西的不错不够，我一样可以自驾车开进去才能体现到美，错里边儿的请求车不能花钱，而且更能欣赏不到他的美。就那一会时间,巴松措,183887593、183887572
1125,2,1,还行。。。。,巴松措,182004910、182004741
1126,2,2,景区环境优美,世界柏树王园林、巴松措,181386794、194687319
1127,2,1,景色很美啊,巴松措,181242143、181242136
1128,2,2,还是值得一看,噶丹松赞林寺、巴松措,180273102、676686858
1129,2,1,很方便，买了票直接刷身份证到窗口换票，景区人少，景美，特别是几个小措，深得我心，这个是个藏在深山幽谷之中的神山神水，还碰到一个帅气的喇叭和我说，扎西德勒,巴松措,178837474、178837481
1130,2,1,从拉萨自驾过去大概4个小时多一点点，总体来说景色还是可以的，这里的水碧绿清澈，跟九寨沟的景色类似，但没有九寨面积那么大。,巴松措,178254926、178254952
1131,2,1,劝你善良，恶毒的人，拜什么佛都保不了你，带两位老人游林芝，被旅行社司机赶下车，首先买的景区往返车票，早上上车才知道被携程安排进旅游团，本来有充分的时间游玩巴松措，却因为旅游团行程游玩时间被压缩，这样已经不满意了，后旅行团要去卡定沟，来到里景区数百米的售票处，就一个亭子（都没到游客中心，也不是检票处）因其中一位老人劳累，身体不适，不打算进景区内游玩，我问司机不去怎么办，可以在车里休息吗，司机说不去就在售票处这里下车，旁边荒地里等着，等别人玩完，再来接，被司机要求下车，在景区外数百米荒地里等着。我陪同宁一位想去的老人进去了，车从售票亭开进去其实只有一小段路，我这时才真正发现司机的恶毒，这个距离的路程，不能让老人在游客中心或者车上休息等着吗吗！！！司机到了景区外，完全不理我们这几个散客，明明景区有自带讲解也避开我们，只把他那11个人拢在一起，问他什么时候集合，也冷着脸不耐烦，因为我们只买车票，无法在网上给司机评价，司机全程都无视我们，这同时也是携程的错，有乘客迟到半小时，司机怕别人打差评，都不敢打电话崔一声，太恶心了。我们快速游览玩，本来也就一小景点，我就马上去景区外售票处陪老人了，看着老人,巴松措,178184921、178184849
1132,2,1,165一个人，景观车10分钟左右到里面，入口有人唱歌，以为是表演节目，实际是顾客花50元自弹自唱，给30秒拍照项目。有一个寺庙，30分钟走完，其他就是坐船再花钱，或者顶着大太阳在湖边走一走。不值得165元，不推荐。,巴松措,177785053、177785043
1133,2,1,巴松措又名措高湖，藏语中是“绿色的水”的意思，长约18公里，湖面面积约27平方公里，最深处达120米，湖面海拔3480米。位于距工布江达县巴河镇约36千米的巴河上游的高峡深谷里，是红教的一处著名神湖和圣地。,巴松措,177566139、164454611
1134,2,1,游船150元/人，但因为游客少，我们等了半天都没人坐船，咨询游船售票处的女工作人员，说帆船规定10个人才可以开船，于是我们两个人买了十张船票，付了1500元，但售票处工作人员仍然不给我们开船，说两个人必须包船，要付3000元才开船，此人差评,巴松措,177394229、177394990
1135,2,1,取票很方便,巴松措,177403253、177403238
1136,2,1,景观优美，值得推荐,巴松措,175848244、175848225
1137,2,1,应该是全网最低票价了，也值得一去，就是有点小累，离拉萨还有那么远距离。,巴松措,175561672、175561654
1138,2,2,非常不错，值得推荐,墨石公园景区、巴松措,175518167、207434697
1139,2,1,湖很漂亮👍🏼👍🏼,巴松措,175372889、175372885
1140,2,1,根本不该有大巴服务,巴松措,174428251、174428238
1141,2,2,景色一般吧,墨石公园景区、巴松措,172075916、220842329
1142,2,1,看携程上排名第一…还以为多好玩呢 来了就一点可以玩的 坐大巴车就两站 都是来看新措的 结果整修封起来了…园区耶不说清楚 不仔细玩只坐车看景的话…也就半个小时就玩完了…总之很失望 没事啊玩的 不会再来了,巴松措,171539256、171539254
1143,2,1,期待下一次旅行,巴松措,166957801、166957789
1144,2,1,很方便，没有坑，提前订还是更便宜的~ 巴松措正常的游览顺序是先乘坐景区观光车，最后会送到湖心岛游船码头，乘坐游艇（快艇）往返两个岛，拍拍照，欣赏一下美丽的湖光山色，好不惬意！运气好的话，还会赶上快艇司机带你飞，真的是坐着快艇飞起来！爽！顺便提一句，巴松措景区不亏是西藏当地最早的5A级景区，景区设施齐备完好，路况也好，服务人员态度也不错，值得游览一番！,巴松措,161470683、161470396
1145,2,1,我只能说：措普沟绝对是格聂南线被严重低估的重点景点！,巴塘措普沟景区,778881398、778880768
1146,2,1,风景秀丽！,巴塘措普沟景区,754497150、754496128
1147,2,1,杭州援建的县推出门票打折政策真的很贴心，本来还在犹豫要不要去，到了景区发现风景确实不错，配套也完善，体验感很好，值得去！,巴塘措普沟景区,734453455、734453399
1148,2,1,冬游措普沟，别一番风味。,巴塘措普沟景区,628095392、628095077
1149,2,1,措普沟素有“小九寨”的美称，风景还是不错的，值回门票吧,巴塘措普沟景区,229114957、229114929
1150,2,2,非常好看的,《金城公主》演出、巴塘措普沟景区,228830554、162995813
1151,2,2,非常好的景区,噶丹松赞林寺、巴塘措普沟景区,225120344、174939712
1152,2,1,超级绝美的地方,巴塘措普沟景区,224397720、224397762
1153,2,2,景色宜人,南迦巴瓦峰、巴塘措普沟景区,219726851、784829809
1154,2,1,措普沟属于此次行程的意外之喜了，不但买了自己的门票还包了领队的门票。进去之前完全没有预期，进入以后觉得还是值回票价的，河滩草甸雪山，寺庙，湖…景色非常美，但是要赶天气好才能领略到各种美景，可遇不可求。下次还会来，推荐游玩～,巴塘措普沟景区,217968290、217967954
1155,2,1,自驾按每人88元收费，到看湖景和措普寺时免费换乘景区观光车，价格合理，对于自驾游客蛮友好的。景区很大，温泉、草原、雪山、湖泊等元素丰富，唯一遗憾是没看到瀑布在哪。整体景观个人感觉不输那拉提。游客中心到自驾车入口验票处有三段特别颠簸的路能修一修就完美了。,巴塘措普沟景区,217782104、217782237
1156,2,1,虽然冬季游玩，景色打了折扣，但胜在人少，能全程自驾，能自己煮温泉蛋，体验感还是蛮好的。因为天气原因，没看到措卡湖最美的样子，但志玛拥措超级蓝超级美！,巴塘措普沟景区,198534743、198534589
1157,2,1,这个地方可以自驾游是相当nice 的👍👍,巴塘措普沟景区,197971817、197971803
1158,2,1,还不错，景区车开进去转一圈，很美的景色，需要体力绕湖走完一圈，看看藏族人民普通的生活，风景处处都是阿勒泰，随手拍都是蓝天白云，真美,巴塘措普沟景区,194265415、194265163
1159,2,1,门票100，车票90，和沿途318国道风景相比，景区内风景一般，性价比不高，4个小时就游完了，没啥新奇的，专门带孩子看土拨鼠，也看不到。,巴塘措普沟景区,167904614、167904598
1160,2,2,帮朋友买的,墨石公园景区、巴塘措普沟景区,167660228、167660233
1161,2,2,这里景色很美趣味性很强性价比很高,塔公寺、宗角禄康公园,167467743、168331332
1162,2,2,很好，值得推荐,噶丹松赞林寺、奇林峡风景区,223757472、668478700
1163,2,2,非常不错的旅行,冈仁波齐、奇林峡风景区,180834968、183808388
1164,2,2,值得一去，很漂亮,噶丹松赞林寺、奇林峡风景区,178558328、183318353
1165,2,1,风景特别好人文自然景观丰富地处四国边境感受独特藏族文化,奇林峡风景区,177597711、177597721
1166,2,1,风景非常不错。值得过来。携程旅行包,奇林峡风景区,176624792、176624781
1167,2,2,景区一般般,墨石公园景区、奇林峡风景区,175068369、209503211
1168,2,1,这个景点给我太多惊喜：可近距离观看连绵的雪山，沿着木栈道可观赏土林峡谷全貌，由于雪山融化的雪山常年冲刷，形成了奇特的幽深的土林，一个个形状各异的土林拔地而起，细细看来，有些像兵马俑，有些像采药的老人，有的像城堡。如果有时间，你可以慢慢品味，发挥你的想象力。我还是第一次看到这个土林峡谷，与云南石林和张家界的地貌，有点相像，但又不一样，尤其是在西藏，你很难把西藏专属的蓝天白云雪山草甸湖泊冰川寺庙等标志性景点，与土林联系到一起，让你有种喜出望外的感觉！,奇林峡风景区,165498876、164720903
1169,2,2,大昭寺已有1300多年的历史，在藏传佛教中拥有至高无上的地位。大昭寺是西藏现存最辉煌的吐蕃时期的建筑，也是西藏最早的土木结构建筑，并且开创了藏式平川式的寺庙市局规式。环大昭寺内中心的释迦牟尼佛殿一圈称为“囊廓”，环大昭寺外墙一圈称为“八廓”，大昭寺外辐射出的街道叫“八廓街”即八角街。以大昭寺为中心，将布达拉宫、药王山、小昭寺包括进来的一大圈称为“林廓”。这从内到外的三个环型，便是藏民们行转经仪式的路线。,大昭寺、大昭寺广场,177269938、167552029
1170,2,2,大昭寺已有1300多年的历史，在藏传佛教中拥有至高无上的地位。大昭寺是西藏现存最辉煌的吐蕃时期的建筑，也是西藏最早的土木结构建筑，并且开创了藏式平川式的寺庙市局规式。环大昭寺内中心的释迦牟尼佛殿一圈称为“囊廓”，环大昭寺外墙一圈称为“八廓”，大昭寺外辐射出的街道叫“八廓街”即八角街。以大昭寺为中心，将布达拉宫、药王山、小昭寺包括进来的一大圈称为“林廓”。这从内到外的三个环型，便是藏民们行转经仪式的路线,大昭寺、大昭寺广场,163376515、163376590
1171,2,1,很愉快的旅程，导游非常专业，给我们介绍了很多历史知识。,大昭寺,790760475、790759775
1172,2,1,服务不错，配套不错。,大昭寺,189514382、189514165
1173,2,2,非常的完美,噶丹松赞林寺、大昭寺,175438330、823298267
1174,2,2,导游服务态度非常好,南迦巴瓦峰、大昭寺,175414444、204436996
1175,2,1,导游讲解的非常好，如果不找个导游光进去溜达一圈就出来了，因为看不懂。建议买票的时候还是找个导游吧，不然真的看不懂，一会儿就出来了。,大昭寺,171543411、171543379
1176,2,1,导游讲的很好,大昭寺,170816130、165009197
1177,2,2,总体还不错。,墨石公园景区、大昭寺,167273168、187183914
1178,2,2,总体超赞，景色不错，性价比高，,墨石公园景区、大昭寺,166888701、166339443
1179,2,1,耳机还要另外付费。请大家注意。,大昭寺,166820702、166820682
1180,2,1,导游讲解很到位,大昭寺,166233590、164241024
1181,2,1,性价比高，有趣好玩，,大昭寺,166139489、166052230
